#{"t_start": 1777335602.488024, "env_id": "MountainCarContinuous-v0"}
r,l,t
24.0,76,730.414528
12.0,88,731.210083
33.0,68,731.807543
27.0,73,732.573042
26.0,75,733.363786
31.0,69,733.996067
30.0,70,734.692732
28.0,72,735.418792
25.0,75,736.197535
28.0,72,736.904809
30.0,70,737.53882
30.0,70,738.230908
28.0,72,738.928883
29.0,71,739.629144
29.0,71,740.334929
28.0,72,741.016248
30.0,71,741.70881
29.0,71,742.384132
30.0,70,742.990832
29.0,71,743.719065
29.0,71,744.556147
25.0,75,745.232295
25.0,75,745.969866
30.0,70,746.638231
31.0,69,747.295653
27.0,73,748.012995
26.0,74,748.760985
29.0,71,749.354891
28.0,72,750.022323
31.0,69,750.719456
28.0,72,751.38184
23.0,77,752.123523
26.0,74,752.785905
30.0,70,753.44133
29.0,71,754.076198
25.0,75,754.696162
30.0,71,755.346275
25.0,75,756.004885
28.0,72,756.634437
27.0,73,757.282737
25.0,75,757.980769
30.0,70,758.543045
30.0,70,759.195443
28.0,72,759.856863
29.0,71,760.504666
31.0,69,761.1711
27.0,73,761.890412
28.0,72,762.561212
28.0,72,763.216265
26.0,74,763.875218
31.0,70,764.517444
32.0,68,765.095979
28.0,72,765.744497
29.0,71,766.391097
28.0,72,767.068251
29.0,71,767.716625
30.0,71,768.358871
30.0,70,769.006197
30.0,70,769.567504
29.0,72,770.222013
30.0,70,770.860332
28.0,72,771.52708
27.0,74,772.180561
31.0,69,772.851346
29.0,71,773.522921
29.0,71,774.208899
26.0,74,774.890157
29.0,71,775.563918
28.0,72,776.240243
29.0,71,776.90568
29.0,71,777.579397
28.0,72,778.250403
32.0,68,778.842261
32.0,69,779.512911
31.0,69,780.134275
29.0,71,780.813116
26.0,74,781.541056
30.0,70,782.150294
26.0,74,782.877004
28.0,72,783.532303
29.0,71,784.112147
26.0,74,784.855358
28.0,72,785.512905
30.0,70,786.091609
27.0,73,786.816431
29.0,71,787.404848
27.0,73,788.136522
29.0,71,788.728103
